model,alpha,adjacent_accuracy,hs_soft11_accuracy,test_passes
all_deg,-0.8,0.9986412190206501,0.4739583333333333,49
all_deg,-0.75,0.9986868923308803,0.5,49
all_deg,-0.7000000000000001,0.9987154381497741,0.5052083333333334,49
all_deg,-0.65,0.9987382748048893,0.5208333333333334,50
all_deg,-0.6000000000000001,0.9987611114600045,0.5260416666666666,50
all_deg,-0.55,0.9988467489166861,0.5520833333333334,51
all_deg,-0.5,0.9988810038993589,0.5572916666666666,50
all_deg,-0.45,0.9989209680458103,0.5625,51
all_deg,-0.4,0.9989380955371466,0.5625,52
all_deg,-0.35000000000000003,0.9989323863733679,0.5625,55
all_deg,-0.30000000000000004,0.9989609321922618,0.5625,55
all_deg,-0.25,0.9989723505198194,0.5677083333333334,55
all_deg,-0.19999999999999996,0.9990237329938284,0.5989583333333334,55
all_deg,-0.15000000000000002,0.9990180238300496,0.5833333333333334,56
all_deg,-0.09999999999999998,0.9990751154678374,0.609375,58
all_deg,-0.050000000000000044,0.9991150796142889,0.6197916666666666,61
all_deg,0.0,0.9991721712520767,0.6197916666666666,67
all_deg,0.050000000000000044,0.9991379162694041,0.6197916666666666,64
all_deg,0.09999999999999998,0.9991093704505101,0.6197916666666666,67
all_deg,0.15000000000000002,0.999035151321386,0.6197916666666666,65
all_deg,0.19999999999999996,0.9990180238300496,0.6302083333333334,64
all_deg,0.25,0.999035151321386,0.6458333333333334,64
all_deg,0.30000000000000004,0.9990522788127223,0.6614583333333334,66
all_deg,0.3500000000000001,0.9990522788127223,0.6666666666666666,69
all_deg,0.40000000000000013,0.9990408604851647,0.671875,69
all_deg,0.44999999999999996,0.999035151321386,0.6770833333333334,68
all_deg,0.5,0.9990237329938284,0.6927083333333334,66
all_deg,0.55,0.9990294421576071,0.6979166666666666,64
all_deg,0.6000000000000001,0.999057987976501,0.7083333333333334,65
all_deg,0.6500000000000001,0.9990751154678374,0.7083333333333334,67
all_deg,0.7,0.9990694063040586,0.7135416666666666,64
all_deg,0.75,0.999086533795395,0.7239583333333334,65
all_deg,0.8,0.9990808246316162,0.7291666666666666,61
soft_deg,-0.8,0.9970483623263701,0.4739583333333333,47
soft_deg,-0.75,0.9972253464035122,0.5,48
soft_deg,-0.7000000000000001,0.9973737846617606,0.5052083333333334,47
soft_deg,-0.65,0.9975336412475665,0.5208333333333334,49
soft_deg,-0.6000000000000001,0.9976706611782572,0.5260416666666666,50
soft_deg,-0.55,0.997807681108948,0.5520833333333334,51
soft_deg,-0.5,0.9979675376947539,0.5572916666666666,50
soft_deg,-0.45,0.998093139297887,0.5625,51
soft_deg,-0.4,0.9982587050474717,0.5625,53
soft_deg,-0.35000000000000003,0.9983900158143837,0.5625,52
soft_deg,-0.30000000000000004,0.9985612907277471,0.5625,55
soft_deg,-0.25,0.9987782389513408,0.5677083333333334,57
soft_deg,-0.19999999999999996,0.9988981313906952,0.5989583333333334,57
soft_deg,-0.15000000000000002,0.9989666413560406,0.5833333333333334,59
soft_deg,-0.09999999999999998,0.9990522788127223,0.609375,62
soft_deg,-0.050000000000000044,0.9991264979418465,0.6197916666666666,63
soft_deg,0.0,0.9991721712520767,0.6197916666666666,67
soft_deg,0.050000000000000044,0.9990522788127223,0.6197916666666666,66
soft_deg,0.09999999999999998,0.9990636971402799,0.6197916666666666,64
soft_deg,0.15000000000000002,0.9990808246316162,0.6197916666666666,61
soft_deg,0.19999999999999996,0.9990979521229526,0.6302083333333334,62
soft_deg,0.25,0.9989951871749345,0.6458333333333334,62
soft_deg,0.30000000000000004,0.9988752947355801,0.6614583333333334,60
soft_deg,0.3500000000000001,0.9987611114600045,0.6666666666666666,60
soft_deg,0.40000000000000013,0.9986526373482076,0.671875,60
soft_deg,0.44999999999999996,0.9984870715986229,0.6770833333333334,59
soft_deg,0.5,0.9983843066506048,0.6927083333333334,57
soft_deg,0.55,0.9981730675907899,0.6979166666666666,55
soft_deg,0.6000000000000001,0.998070302642772,0.7083333333333334,53
soft_deg,0.6500000000000001,0.9978476452553995,0.7083333333333334,56
soft_deg,0.7,0.997676370342036,0.7135416666666666,53
soft_deg,0.75,0.9975850237215755,0.7239583333333334,48
soft_deg,0.8,0.9974480037908847,0.7291666666666666,50
